Summary,Description,Issue Type,Priority,Labels
[UI] Los íconos de automóviles no se visualizan claramente en el mapa,Los íconos de automóviles no son visibles ni reconocibles en el mapa en resoluciones de pantalla reducida o alta. Navegadores afectados: Chrome (800x600) y Firefox (1920x1080).,Bug,High,"UI, Map, Visual Bug"
[UX] Proporción y diferenciación deficiente de íconos de automóviles,Los íconos de automóviles no se diferencian claramente entre categorías. Afecta la comprensión del usuario. Navegadores afectados: Chrome y Firefox.,Bug,Medium,"UX, Visual Bug"
[UI] Superposición de nombres de calles con otros elementos en el mapa,Los nombres de calles se superponen con íconos y otros elementos gráficos en el mapa. Navegadores afectados: Chrome y Firefox.,Bug,High,"UI, Map"
[UI] El botón “De lujo $10” no se resalta al seleccionar,El botón de selección de categoría no cambia visualmente al ser seleccionado. Navegadores afectados: Chrome y Firefox.,Bug,Medium,"UI, Visual Feedback"
[UX] Íconos de tipos de automóvil no se distinguen entre sí,Los íconos de vehículos carecen de diferenciación clara según la categoría. Navegadores afectados: Chrome y Firefox.,Bug,Medium,"UX, Iconography"
[UI] Precios de categoría no visibles o mal alineados,Los precios asociados a cada categoría no están bien alineados o no se visualizan correctamente. Navegadores afectados: Chrome y Firefox.,Bug,High,"UI, Layout"
[UI] Modelo del automóvil (BMW 750) no se visualiza claramente,El texto que muestra el modelo del automóvil es poco visible o está ausente. Navegadores afectados: Chrome y Firefox.,Bug,Medium,UI
"[UX] Texto “Solo negocios, nada más” ausente o ilegible",El mensaje de marca no se muestra o es ilegible en el diseño. Navegadores afectados: Chrome y Firefox.,Bug,Low,"UX, Branding"
[UX] Falta indicación clara del tiempo de espera gratuito (1-5 min),No se muestra información clara sobre el tiempo de espera gratuito. Navegadores afectados: Chrome y Firefox.,Bug,High,"UX, InfoMissing"
[UI] Ícono del automóvil en lateral izquierdo no coincide con el del mapa,El ícono mostrado en el lateral no corresponde al ícono en el mapa. Navegadores afectados: Chrome y Firefox.,Bug,Medium,"UI, Consistency"
[UI] Texto “De lujo” no se asocia visualmente con BMW 750,El texto que indica la categoría de lujo no tiene una relación visual clara con el vehículo BMW 750. Navegadores afectados: Chrome y Firefox.,Bug,Medium,"UI, Labeling"
[UI] Botón “Agregar licencia de conducir” ausente en Chrome,"El botón para agregar licencia de conducir no aparece en Chrome (800x600), pero sí en Firefox (1920x1080).",Bug,High,"UI, Cross-browser"
[Functional] El botón “Agregar licencia de conducir” no despliega ventana,"Al presionar el botón, no se despliega el menú o ventana esperada. Navegadores afectados: Chrome y Firefox.",Bug,High,"Functional, UI"
[Spelling] Error ortográfico en “Licencia de conducir” en Chrome,Texto presenta errores ortográficos o de capitalización en Chrome (800x600).,Bug,Low,"Spelling, Text"
[UI] Texto “Método de pago” incorrecto en Chrome,Texto del campo 'Método de pago' contiene errores en Chrome (800x600).,Bug,Low,"Text, UI"
[UI] Botón “Agregar” no visible o mal posicionado,El botón no se encuentra visible o está fuera de alineación en relación al campo. Navegadores afectados: Chrome y Firefox.,Bug,High,"UI, Layout"
[UI] Problemas de alineación vertical en campo de licencia en Chrome,El campo de licencia y su botón asociado están desalineados verticalmente en Chrome.,Bug,Medium,"UI, Alignment"
[UI] Texto “Reservado” en verde no se destaca correctamente,El texto en color verde no tiene suficiente contraste o visibilidad. Navegadores afectados: Chrome y Firefox.,Bug,Medium,"UI, Color"
[UI] Inconsistencias tipográficas en toda la interfaz,La tipografía varía en estilo y tamaño a lo largo de la interfaz. Navegadores afectados: Chrome y Firefox.,Bug,High,"UI, Typography"
